District,Rank,Crime_Type,Total_Cases,Pct_of_District_Total
Jalaun,4,Crimes Against Children,1206,2.7
Jalaun,5,Crimes Against SCs,749,1.7
Jaunpur,1,IPC Crimes,38807,55.8
Jaunpur,2,SLL Crimes,20383,29.3
Jaunpur,3,Crimes Against Women,4766,6.9
Jaunpur,4,Crimes Against Children,2406,3.5
Jaunpur,5,Crimes Against SCs,1835,2.6
Jhansi,1,SLL Crimes,35053,27.5
Jhansi,2,IPC Crimes,24760,19.4
Jhansi,3,Murder,9170,7.2
Jhansi,4,Burglary,7072,5.5
Jhansi,5,Fraud,6238,4.9
Kannauj,1,IPC Crimes,20249,45.0
Kannauj,2,SLL Crimes,16646,37.0
Kannauj,3,Crimes Against Women,5014,11.2
Kannauj,4,Crimes Against Children,1288,2.9
Kannauj,5,Crimes Against SCs,906,2.0
Kanpur Commissionarate,1,IPC Crimes,29610,60.3
Kanpur Commissionarate,2,SLL Crimes,9170,18.7
Kanpur Commissionarate,3,Crimes Against Women,5119,10.4
Kanpur Commissionarate,4,Missing Persons,1771,3.6
Kanpur Commissionarate,5,Cyber Crimes,1471,3.0
Kanpur Dehat,1,SLL Crimes,26255,43.6
Kanpur Dehat,2,IPC Crimes,26139,43.4
Kanpur Dehat,3,Crimes Against Women,4863,8.1
Kanpur Dehat,4,Crimes Against SCs,1269,2.1
Kanpur Dehat,5,Crimes Against Children,1176,2.0
Kanpur Nagar,1,IPC Crimes,35319,25.6
Kanpur Nagar,2,SLL Crimes,27627,20.0
Kanpur Nagar,3,Assault,8587,6.2
Kanpur Nagar,4,Burglary,8244,6.0
Kanpur Nagar,5,Dowry Deaths,7540,5.5
Kanpur Outer,1,IPC Crimes,2719,60.2
Kanpur Outer,2,SLL Crimes,813,18.0
Kanpur Outer,3,Crimes Against Women,549,12.1
Kanpur Outer,4,Crimes Against Children,169,3.7
Kanpur Outer,5,Crimes Against SCs,167,3.7
Kasganj,1,SLL Crimes,20163,44.9
Kasganj,2,IPC Crimes,17611,39.2
Kasganj,3,Crimes Against Women,4381,9.8
Kasganj,4,Crimes Against Children,1782,4.0
Kasganj,5,Crimes Against SCs,634,1.4
Kaushambi,1,IPC Crimes,20219,44.6
Kaushambi,2,SLL Crimes,18725,41.3
Kaushambi,3,Crimes Against Women,2909,6.4
Kaushambi,4,Crimes Against Children,1668,3.7
Kaushambi,5,Crimes Against SCs,1025,2.3
Khiri,1,IPC Crimes,44733,45.2
Khiri,2,SLL Crimes,42890,43.4
Khiri,3,Crimes Against Women,6203,6.3
Khiri,4,Crimes Against SCs,2404,2.4
Khiri,5,Crimes Against Children,2050,2.1
Kushi Nagar,1,IPC Crimes,29902,48.1
