District,Year,Crime_Type,Total,Source
Firozabad,2016,Crimes Against SCs,158,NCRB
G. R. P.,2016,Crimes Against SCs,9,NCRB
Gautambudh Nagar,2016,Crimes Against SCs,62,NCRB
Ghaziabad,2016,Crimes Against SCs,106,NCRB
Ghazipur,2016,Crimes Against SCs,161,NCRB
Gonda,2016,Crimes Against SCs,174,NCRB
Gorakhpur,2016,Crimes Against SCs,315,NCRB
Hamirpur,2016,Crimes Against SCs,94,NCRB
Hapur,2016,Crimes Against SCs,39,NCRB
Hardoi,2016,Crimes Against SCs,272,NCRB
Hathras,2016,Crimes Against SCs,69,NCRB
Jalaun,2016,Crimes Against SCs,88,NCRB
Jaunpur,2016,Crimes Against SCs,202,NCRB
Jhansi,2016,Crimes Against SCs,156,NCRB
Kannauj,2016,Crimes Against SCs,123,NCRB
Kanpur Dehat,2016,Crimes Against SCs,121,NCRB
Kanpur Nagar,2016,Crimes Against SCs,234,NCRB
Kasganj,2016,Crimes Against SCs,56,NCRB
Kaushambi,2016,Crimes Against SCs,115,NCRB
Khiri,2016,Crimes Against SCs,237,NCRB
Kushi Nagar,2016,Crimes Against SCs,143,NCRB
Lalitpur,2016,Crimes Against SCs,125,NCRB
Lucknow,2016,Crimes Against SCs,420,NCRB
Maharajganj,2016,Crimes Against SCs,75,NCRB
Mahoba,2016,Crimes Against SCs,104,NCRB
Mainpuri,2016,Crimes Against SCs,115,NCRB
Mathura,2016,Crimes Against SCs,99,NCRB
Mau,2016,Crimes Against SCs,103,NCRB
Meerut,2016,Crimes Against SCs,140,NCRB
Mirzapur,2016,Crimes Against SCs,30,NCRB
Moradabad,2016,Crimes Against SCs,102,NCRB
Muzaffarnagar,2016,Crimes Against SCs,52,NCRB
Pilibhit,2016,Crimes Against SCs,118,NCRB
Pratapgarh,2016,Crimes Against SCs,315,NCRB
Raibareilly,2016,Crimes Against SCs,204,NCRB
Rampur,2016,Crimes Against SCs,48,NCRB
Saharanpur,2016,Crimes Against SCs,50,NCRB
Sambhal,2016,Crimes Against SCs,35,NCRB
Sant Kabirnagar,2016,Crimes Against SCs,62,NCRB
Shahjahanpur,2016,Crimes Against SCs,168,NCRB
Shamli,2016,Crimes Against SCs,25,NCRB
Shrawasti,2016,Crimes Against SCs,83,NCRB
Sidharthnagar,2016,Crimes Against SCs,75,NCRB
Sitapur,2016,Crimes Against SCs,419,NCRB
Sonbhadra,2016,Crimes Against SCs,59,NCRB
Bhadohi,2016,Crimes Against SCs,59,NCRB
Sultanpur,2016,Crimes Against SCs,153,NCRB
Unnao,2016,Crimes Against SCs,258,NCRB
Varanasi,2016,Crimes Against SCs,190,NCRB
Agra,2016,Crimes Against STs,0,NCRB
Aligarh,2016,Crimes Against STs,0,NCRB
Allahabad,2016,Crimes Against STs,0,NCRB
Ambedkar Nagar,2016,Crimes Against STs,0,NCRB
Amethi,2016,Crimes Against STs,0,NCRB
Amroha,2016,Crimes Against STs,0,NCRB
Auraiya,2016,Crimes Against STs,0,NCRB
Azamgarh,2016,Crimes Against STs,0,NCRB
Badaun,2016,Crimes Against STs,0,NCRB
Baghpat,2016,Crimes Against STs,0,NCRB
Bahraich,2016,Crimes Against STs,0,NCRB
Ballia,2016,Crimes Against STs,0,NCRB
Balrampur,2016,Crimes Against STs,0,NCRB
Banda,2016,Crimes Against STs,0,NCRB
Barabanki,2016,Crimes Against STs,0,NCRB
Bareilly,2016,Crimes Against STs,0,NCRB
Basti,2016,Crimes Against STs,0,NCRB
Bijnor,2016,Crimes Against STs,0,NCRB
Bulandshahar,2016,Crimes Against STs,0,NCRB
Chandoli,2016,Crimes Against STs,0,NCRB
Chitrakoot,2016,Crimes Against STs,0,NCRB
Deoria,2016,Crimes Against STs,0,NCRB
Etah,2016,Crimes Against STs,0,NCRB
Etawah,2016,Crimes Against STs,0,NCRB
Faizabad,2016,Crimes Against STs,0,NCRB
Fatehgarh,2016,Crimes Against STs,0,NCRB
Fatehpur,2016,Crimes Against STs,0,NCRB
Firozabad,2016,Crimes Against STs,0,NCRB
G. R. P.,2016,Crimes Against STs,0,NCRB
Gautambudh Nagar,2016,Crimes Against STs,0,NCRB
Ghaziabad,2016,Crimes Against STs,0,NCRB
Ghazipur,2016,Crimes Against STs,0,NCRB
Gonda,2016,Crimes Against STs,0,NCRB
Gorakhpur,2016,Crimes Against STs,0,NCRB
Hamirpur,2016,Crimes Against STs,0,NCRB
Hapur,2016,Crimes Against STs,0,NCRB
Hardoi,2016,Crimes Against STs,0,NCRB
Hathras,2016,Crimes Against STs,0,NCRB
Jalaun,2016,Crimes Against STs,0,NCRB
Jaunpur,2016,Crimes Against STs,0,NCRB
Jhansi,2016,Crimes Against STs,0,NCRB
Kannauj,2016,Crimes Against STs,0,NCRB
Kanpur Dehat,2016,Crimes Against STs,0,NCRB
Kanpur Nagar,2016,Crimes Against STs,0,NCRB
Kasganj,2016,Crimes Against STs,0,NCRB
Kaushambi,2016,Crimes Against STs,0,NCRB
Khiri,2016,Crimes Against STs,0,NCRB
Kushi Nagar,2016,Crimes Against STs,0,NCRB
Lalitpur,2016,Crimes Against STs,0,NCRB
Lucknow,2016,Crimes Against STs,0,NCRB
Maharajganj,2016,Crimes Against STs,0,NCRB
Mahoba,2016,Crimes Against STs,0,NCRB
Mainpuri,2016,Crimes Against STs,0,NCRB
Mathura,2016,Crimes Against STs,0,NCRB
Mau,2016,Crimes Against STs,0,NCRB
Meerut,2016,Crimes Against STs,0,NCRB
Mirzapur,2016,Crimes Against STs,0,NCRB
Moradabad,2016,Crimes Against STs,0,NCRB
Muzaffarnagar,2016,Crimes Against STs,0,NCRB
Pilibhit,2016,Crimes Against STs,0,NCRB
Pratapgarh,2016,Crimes Against STs,0,NCRB
Raibareilly,2016,Crimes Against STs,0,NCRB
Rampur,2016,Crimes Against STs,0,NCRB
