District,Year,Crime_Type,Total,Source
Deoria,2020,Missing Persons,0,NCRB
Etah,2020,Missing Persons,0,NCRB
Etawah,2020,Missing Persons,0,NCRB
Ayodhya,2020,Missing Persons,0,NCRB
Fatehgarh,2020,Missing Persons,0,NCRB
Fatehpur,2020,Missing Persons,0,NCRB
Firozabad,2020,Missing Persons,0,NCRB
Gautambudh Nagar,2020,Missing Persons,0,NCRB
Ghaziabad,2020,Missing Persons,0,NCRB
Ghazipur,2020,Missing Persons,0,NCRB
Gonda,2020,Missing Persons,0,NCRB
Gorakhpur,2020,Missing Persons,0,NCRB
Hamirpur,2020,Missing Persons,0,NCRB
Hapur,2020,Missing Persons,0,NCRB
Hardoi,2020,Missing Persons,0,NCRB
Hathras,2020,Missing Persons,0,NCRB
Jalaun,2020,Missing Persons,0,NCRB
Jaunpur,2020,Missing Persons,0,NCRB
Jhansi,2020,Missing Persons,0,NCRB
Kannauj,2020,Missing Persons,0,NCRB
Kanpur Dehat,2020,Missing Persons,0,NCRB
Kanpur Nagar,2020,Missing Persons,0,NCRB
Kasganj,2020,Missing Persons,0,NCRB
Kaushambi,2020,Missing Persons,0,NCRB
Khiri,2020,Missing Persons,0,NCRB
Kushi Nagar,2020,Missing Persons,0,NCRB
Lalitpur,2020,Missing Persons,0,NCRB
Lucknow Commissionarate,2020,Missing Persons,0,NCRB
Maharajganj,2020,Missing Persons,0,NCRB
Mahoba,2020,Missing Persons,0,NCRB
Mainpuri,2020,Missing Persons,0,NCRB
Mathura,2020,Missing Persons,0,NCRB
Mau,2020,Missing Persons,0,NCRB
Meerut,2020,Missing Persons,0,NCRB
Mirzapur,2020,Missing Persons,0,NCRB
Moradabad,2020,Missing Persons,0,NCRB
Muzaffarnagar,2020,Missing Persons,0,NCRB
Pilibhit,2020,Missing Persons,0,NCRB
Pratapgarh,2020,Missing Persons,0,NCRB
Raibareilly,2020,Missing Persons,0,NCRB
Rampur,2020,Missing Persons,0,NCRB
Saharanpur,2020,Missing Persons,0,NCRB
Sambhal,2020,Missing Persons,0,NCRB
Sant Kabirnagar,2020,Missing Persons,0,NCRB
Shahjahanpur,2020,Missing Persons,0,NCRB
Shamli,2020,Missing Persons,0,NCRB
Shrawasti,2020,Missing Persons,0,NCRB
Sidharthnagar,2020,Missing Persons,0,NCRB
Sitapur,2020,Missing Persons,0,NCRB
Sonbhadra,2020,Missing Persons,0,NCRB
Bhadohi,2020,Missing Persons,0,NCRB
Sultanpur,2020,Missing Persons,0,NCRB
Unnao,2020,Missing Persons,0,NCRB
Varanasi,2020,Missing Persons,0,NCRB
Lucknow Grameen,2020,Missing Persons,0,NCRB
Agra,2020,Juvenile SLL,0,NCRB
Aligarh,2020,Juvenile SLL,0,NCRB
Prayagraj,2020,Juvenile SLL,0,NCRB
Ambedkar Nagar,2020,Juvenile SLL,0,NCRB
Amethi,2020,Juvenile SLL,0,NCRB
Amroha,2020,Juvenile SLL,0,NCRB
Auraiya,2020,Juvenile SLL,5,NCRB
Azamgarh,2020,Juvenile SLL,0,NCRB
Badaun,2020,Juvenile SLL,2,NCRB
Baghpat,2020,Juvenile SLL,0,NCRB
Bahraich,2020,Juvenile SLL,0,NCRB
Ballia,2020,Juvenile SLL,0,NCRB
Balrampur,2020,Juvenile SLL,0,NCRB
Banda,2020,Juvenile SLL,2,NCRB
Barabanki,2020,Juvenile SLL,14,NCRB
Bareilly,2020,Juvenile SLL,0,NCRB
Basti,2020,Juvenile SLL,0,NCRB
Bijnor,2020,Juvenile SLL,0,NCRB
Bulandshahar,2020,Juvenile SLL,31,NCRB
Chandoli,2020,Juvenile SLL,8,NCRB
Chitrakoot,2020,Juvenile SLL,0,NCRB
Deoria,2020,Juvenile SLL,0,NCRB
Etah,2020,Juvenile SLL,0,NCRB
Etawah,2020,Juvenile SLL,0,NCRB
Ayodhya,2020,Juvenile SLL,0,NCRB
Fatehgarh,2020,Juvenile SLL,0,NCRB
Fatehpur,2020,Juvenile SLL,7,NCRB
Firozabad,2020,Juvenile SLL,2,NCRB
Gautambudh Nagar,2020,Juvenile SLL,14,NCRB
Ghaziabad,2020,Juvenile SLL,0,NCRB
Ghazipur,2020,Juvenile SLL,27,NCRB
Gonda,2020,Juvenile SLL,0,NCRB
Gorakhpur,2020,Juvenile SLL,0,NCRB
Hamirpur,2020,Juvenile SLL,3,NCRB
Hapur,2020,Juvenile SLL,2,NCRB
Hardoi,2020,Juvenile SLL,0,NCRB
Hathras,2020,Juvenile SLL,0,NCRB
Jalaun,2020,Juvenile SLL,1,NCRB
Jaunpur,2020,Juvenile SLL,8,NCRB
Jhansi,2020,Juvenile SLL,0,NCRB
Kannauj,2020,Juvenile SLL,0,NCRB
Kanpur Dehat,2020,Juvenile SLL,0,NCRB
Kanpur Nagar,2020,Juvenile SLL,0,NCRB
Kasganj,2020,Juvenile SLL,0,NCRB
Kaushambi,2020,Juvenile SLL,0,NCRB
Khiri,2020,Juvenile SLL,0,NCRB
Kushi Nagar,2020,Juvenile SLL,0,NCRB
Lalitpur,2020,Juvenile SLL,0,NCRB
Lucknow Commissionarate,2020,Juvenile SLL,33,NCRB
Maharajganj,2020,Juvenile SLL,22,NCRB
Mahoba,2020,Juvenile SLL,0,NCRB
Mainpuri,2020,Juvenile SLL,49,NCRB
Mathura,2020,Juvenile SLL,0,NCRB
Mau,2020,Juvenile SLL,0,NCRB
Meerut,2020,Juvenile SLL,0,NCRB
Mirzapur,2020,Juvenile SLL,17,NCRB
Moradabad,2020,Juvenile SLL,0,NCRB
Muzaffarnagar,2020,Juvenile SLL,24,NCRB
Pilibhit,2020,Juvenile SLL,0,NCRB
Pratapgarh,2020,Juvenile SLL,0,NCRB
Raibareilly,2020,Juvenile SLL,0,NCRB
Rampur,2020,Juvenile SLL,8,NCRB
Saharanpur,2020,Juvenile SLL,4,NCRB
Sambhal,2020,Juvenile SLL,0,NCRB
Sant Kabirnagar,2020,Juvenile SLL,0,NCRB
Shahjahanpur,2020,Juvenile SLL,0,NCRB
Shamli,2020,Juvenile SLL,12,NCRB
Shrawasti,2020,Juvenile SLL,2,NCRB
Sidharthnagar,2020,Juvenile SLL,0,NCRB
Sitapur,2020,Juvenile SLL,0,NCRB
Sonbhadra,2020,Juvenile SLL,0,NCRB
Bhadohi,2020,Juvenile SLL,0,NCRB
Sultanpur,2020,Juvenile SLL,10,NCRB
Unnao,2020,Juvenile SLL,20,NCRB
Varanasi,2020,Juvenile SLL,6,NCRB
Lucknow Grameen,2020,Juvenile SLL,0,NCRB
Agra,2020,SLL Crimes,3011,NCRB
Aligarh,2020,SLL Crimes,3446,NCRB
Prayagraj,2020,SLL Crimes,7949,NCRB
Ambedkar Nagar,2020,SLL Crimes,1639,NCRB
Amethi,2020,SLL Crimes,2033,NCRB
Amroha,2020,SLL Crimes,2405,NCRB
Auraiya,2020,SLL Crimes,3441,NCRB
Azamgarh,2020,SLL Crimes,1828,NCRB
Badaun,2020,SLL Crimes,3692,NCRB
Baghpat,2020,SLL Crimes,1950,NCRB
Bahraich,2020,SLL Crimes,3570,NCRB
Ballia,2020,SLL Crimes,2917,NCRB
Balrampur,2020,SLL Crimes,2034,NCRB
Banda,2020,SLL Crimes,1725,NCRB
Barabanki,2020,SLL Crimes,3379,NCRB
Bareilly,2020,SLL Crimes,6834,NCRB
Basti,2020,SLL Crimes,2636,NCRB
Bijnor,2020,SLL Crimes,5208,NCRB
Bulandshahar,2020,SLL Crimes,6234,NCRB
Chandoli,2020,SLL Crimes,1065,NCRB
Chitrakoot,2020,SLL Crimes,825,NCRB
Deoria,2020,SLL Crimes,2856,NCRB
Etah,2020,SLL Crimes,2523,NCRB
Etawah,2020,SLL Crimes,3226,NCRB
Ayodhya,2020,SLL Crimes,3832,NCRB
Fatehgarh,2020,SLL Crimes,34933,NCRB
Fatehpur,2020,SLL Crimes,2932,NCRB
Firozabad,2020,SLL Crimes,2444,NCRB
Gautambudh Nagar,2020,SLL Crimes,3805,NCRB
Ghaziabad,2020,SLL Crimes,7650,NCRB
Ghazipur,2020,SLL Crimes,1590,NCRB
Gonda,2020,SLL Crimes,4642,NCRB
Gorakhpur,2020,SLL Crimes,13100,NCRB
Hamirpur,2020,SLL Crimes,2057,NCRB
Hapur,2020,SLL Crimes,1710,NCRB
Hardoi,2020,SLL Crimes,54,NCRB
Hathras,2020,SLL Crimes,1413,NCRB
Jalaun,2020,SLL Crimes,4911,NCRB
Jaunpur,2020,SLL Crimes,2186,NCRB
Jhansi,2020,SLL Crimes,7967,NCRB
Kannauj,2020,SLL Crimes,2061,NCRB
Kanpur Dehat,2020,SLL Crimes,5219,NCRB
Kanpur Nagar,2020,SLL Crimes,11795,NCRB
Kasganj,2020,SLL Crimes,1064,NCRB
Kaushambi,2020,SLL Crimes,3027,NCRB
Khiri,2020,SLL Crimes,6374,NCRB
Kushi Nagar,2020,SLL Crimes,3819,NCRB
Lalitpur,2020,SLL Crimes,2065,NCRB
Lucknow Commissionarate,2020,SLL Crimes,4823,NCRB
Maharajganj,2020,SLL Crimes,3274,NCRB
Mahoba,2020,SLL Crimes,1662,NCRB
Mainpuri,2020,SLL Crimes,7885,NCRB
Mathura,2020,SLL Crimes,2094,NCRB
Mau,2020,SLL Crimes,1372,NCRB
Meerut,2020,SLL Crimes,5450,NCRB
Mirzapur,2020,SLL Crimes,1382,NCRB
Moradabad,2020,SLL Crimes,5059,NCRB
Muzaffarnagar,2020,SLL Crimes,2901,NCRB
Pilibhit,2020,SLL Crimes,3274,NCRB
Pratapgarh,2020,SLL Crimes,2336,NCRB
Raibareilly,2020,SLL Crimes,2674,NCRB
Rampur,2020,SLL Crimes,7855,NCRB
Saharanpur,2020,SLL Crimes,5733,NCRB
Sambhal,2020,SLL Crimes,2637,NCRB
Sant Kabirnagar,2020,SLL Crimes,2023,NCRB
Shahjahanpur,2020,SLL Crimes,8958,NCRB
Shamli,2020,SLL Crimes,2206,NCRB
Shrawasti,2020,SLL Crimes,1031,NCRB
Sidharthnagar,2020,SLL Crimes,3436,NCRB
Sitapur,2020,SLL Crimes,5217,NCRB
Sonbhadra,2020,SLL Crimes,1356,NCRB
Bhadohi,2020,SLL Crimes,682,NCRB
Sultanpur,2020,SLL Crimes,2950,NCRB
Unnao,2020,SLL Crimes,4488,NCRB
Varanasi,2020,SLL Crimes,1463,NCRB
Lucknow Grameen,2020,SLL Crimes,998,NCRB
Agra,2021,IPC Crimes,9211,NCRB
Aligarh,2021,IPC Crimes,9255,NCRB
Prayagraj,2021,IPC Crimes,12113,NCRB
Ambedkar Nagar,2021,IPC Crimes,2856,NCRB
Amethi,2021,IPC Crimes,3626,NCRB
Amroha,2021,IPC Crimes,2698,NCRB
Auraiya,2021,IPC Crimes,2703,NCRB
Azamgarh,2021,IPC Crimes,4778,NCRB
Badaun,2021,IPC Crimes,4116,NCRB
Baghpat,2021,IPC Crimes,3611,NCRB
Bahraich,2021,IPC Crimes,5822,NCRB
Ballia,2021,IPC Crimes,2396,NCRB
Balrampur,2021,IPC Crimes,1506,NCRB
Banda,2021,IPC Crimes,2644,NCRB
Barabanki,2021,IPC Crimes,5532,NCRB
Bareilly,2021,IPC Crimes,8457,NCRB
Basti,2021,IPC Crimes,2595,NCRB
Bijnor,2021,IPC Crimes,3836,NCRB
Bulandshahar,2021,IPC Crimes,8929,NCRB
Chandoli,2021,IPC Crimes,1986,NCRB
Chitrakoot,2021,IPC Crimes,999,NCRB
Deoria,2021,IPC Crimes,2466,NCRB
Etah,2021,IPC Crimes,4192,NCRB
Etawah,2021,IPC Crimes,3027,NCRB
Ayodhya,2021,IPC Crimes,5132,NCRB
Fatehgarh,2021,IPC Crimes,2952,NCRB
Fatehpur,2021,IPC Crimes,3406,NCRB
Firozabad,2021,IPC Crimes,5720,NCRB
Gautambudh Nagar,2021,IPC Crimes,12675,NCRB
Ghaziabad,2021,IPC Crimes,18154,NCRB
Ghazipur,2021,IPC Crimes,5215,NCRB
Gonda,2021,IPC Crimes,2657,NCRB
Gorakhpur,2021,IPC Crimes,7209,NCRB
Hamirpur,2021,IPC Crimes,2014,NCRB
Hapur,2021,IPC Crimes,3424,NCRB
Hardoi,2021,IPC Crimes,7033,NCRB
Hathras,2021,IPC Crimes,2440,NCRB
Jalaun,2021,IPC Crimes,2277,NCRB
Jaunpur,2021,IPC Crimes,5436,NCRB
Jhansi,2021,IPC Crimes,3691,NCRB
Kannauj,2021,IPC Crimes,3151,NCRB
Kanpur Dehat,2021,IPC Crimes,4428,NCRB
Kanpur Commissionarate,2021,IPC Crimes,7237,NCRB
Kasganj,2021,IPC Crimes,2799,NCRB
Kaushambi,2021,IPC Crimes,2573,NCRB
Khiri,2021,IPC Crimes,5218,NCRB
Kushi Nagar,2021,IPC Crimes,3783,NCRB
Lalitpur,2021,IPC Crimes,1542,NCRB
Lucknow Commissionarate,2021,IPC Crimes,14175,NCRB
Maharajganj,2021,IPC Crimes,1606,NCRB
Mahoba,2021,IPC Crimes,1241,NCRB
Mainpuri,2021,IPC Crimes,3240,NCRB
Mathura,2021,IPC Crimes,8984,NCRB
Mau,2021,IPC Crimes,3966,NCRB
Meerut,2021,IPC Crimes,9924,NCRB
Mirzapur,2021,IPC Crimes,1803,NCRB
Moradabad,2021,IPC Crimes,5821,NCRB
Muzaffarnagar,2021,IPC Crimes,4646,NCRB
Pilibhit,2021,IPC Crimes,3403,NCRB
Pratapgarh,2021,IPC Crimes,7583,NCRB
Raibareilly,2021,IPC Crimes,5018,NCRB
Rampur,2021,IPC Crimes,2402,NCRB
Saharanpur,2021,IPC Crimes,3806,NCRB
Sambhal,2021,IPC Crimes,3157,NCRB
Sant Kabirnagar,2021,IPC Crimes,1534,NCRB
Shahjahanpur,2021,IPC Crimes,4928,NCRB
Shamli,2021,IPC Crimes,1854,NCRB
Shrawasti,2021,IPC Crimes,1292,NCRB
Sidharthnagar,2021,IPC Crimes,1223,NCRB
Sitapur,2021,IPC Crimes,5611,NCRB
Sonbhadra,2021,IPC Crimes,1945,NCRB
Bhadohi,2021,IPC Crimes,1495,NCRB
Sultanpur,2021,IPC Crimes,6267,NCRB
Unnao,2021,IPC Crimes,5296,NCRB
Varanasi Commissionarate,2021,IPC Crimes,5720,NCRB
Lucknow Grameen,2021,IPC Crimes,634,NCRB
Kanpur Outer,2021,IPC Crimes,2719,NCRB
Vasanasi Dehat,2021,IPC Crimes,3531,NCRB
Agra,2021,SLL Crimes,3551,NCRB
Aligarh,2021,SLL Crimes,12242,NCRB
Prayagraj,2021,SLL Crimes,6681,NCRB
Ambedkar Nagar,2021,SLL Crimes,1766,NCRB
Amethi,2021,SLL Crimes,1329,NCRB
Amroha,2021,SLL Crimes,2893,NCRB
Auraiya,2021,SLL Crimes,1963,NCRB
Azamgarh,2021,SLL Crimes,1564,NCRB
Badaun,2021,SLL Crimes,5273,NCRB
Baghpat,2021,SLL Crimes,2016,NCRB
Bahraich,2021,SLL Crimes,3324,NCRB
Ballia,2021,SLL Crimes,2891,NCRB
Balrampur,2021,SLL Crimes,1589,NCRB
Banda,2021,SLL Crimes,1394,NCRB
Barabanki,2021,SLL Crimes,3486,NCRB
Bareilly,2021,SLL Crimes,6247,NCRB
Basti,2021,SLL Crimes,2649,NCRB
Bijnor,2021,SLL Crimes,5275,NCRB
Bulandshahar,2021,SLL Crimes,8729,NCRB
Chandoli,2021,SLL Crimes,2262,NCRB
Chitrakoot,2021,SLL Crimes,797,NCRB
Deoria,2021,SLL Crimes,2762,NCRB
Etah,2021,SLL Crimes,1762,NCRB
Etawah,2021,SLL Crimes,2270,NCRB
Ayodhya,2021,SLL Crimes,3859,NCRB
Fatehgarh,2021,SLL Crimes,2522,NCRB
Fatehpur,2021,SLL Crimes,2536,NCRB
Firozabad,2021,SLL Crimes,2421,NCRB
Gautambudh Nagar,2021,SLL Crimes,3306,NCRB
Ghaziabad,2021,SLL Crimes,6614,NCRB
Ghazipur,2021,SLL Crimes,1571,NCRB
Gonda,2021,SLL Crimes,3957,NCRB
Gorakhpur,2021,SLL Crimes,3540,NCRB
Hamirpur,2021,SLL Crimes,2120,NCRB
Hapur,2021,SLL Crimes,3501,NCRB
Hardoi,2021,SLL Crimes,7408,NCRB
Hathras,2021,SLL Crimes,1152,NCRB
Jalaun,2021,SLL Crimes,5547,NCRB
Jaunpur,2021,SLL Crimes,1983,NCRB
Jhansi,2021,SLL Crimes,3464,NCRB
Kannauj,2021,SLL Crimes,1771,NCRB
Kanpur Dehat,2021,SLL Crimes,1006,NCRB
Kanpur Commissionarate,2021,SLL Crimes,2589,NCRB
Kasganj,2021,SLL Crimes,5569,NCRB
Kaushambi,2021,SLL Crimes,1936,NCRB
Khiri,2021,SLL Crimes,8112,NCRB
Kushi Nagar,2021,SLL Crimes,3277,NCRB
Lalitpur,2021,SLL Crimes,2097,NCRB
Lucknow Commissionarate,2021,SLL Crimes,2961,NCRB
Maharajganj,2021,SLL Crimes,2919,NCRB
Mahoba,2021,SLL Crimes,1450,NCRB
Mainpuri,2021,SLL Crimes,1975,NCRB
Mathura,2021,SLL Crimes,2666,NCRB
Mau,2021,SLL Crimes,1302,NCRB
Meerut,2021,SLL Crimes,5672,NCRB
Mirzapur,2021,SLL Crimes,1259,NCRB
Moradabad,2021,SLL Crimes,3034,NCRB
Muzaffarnagar,2021,SLL Crimes,3110,NCRB
Pilibhit,2021,SLL Crimes,2801,NCRB
Pratapgarh,2021,SLL Crimes,1216,NCRB
Raibareilly,2021,SLL Crimes,3952,NCRB
Rampur,2021,SLL Crimes,3269,NCRB
Saharanpur,2021,SLL Crimes,5712,NCRB
Sambhal,2021,SLL Crimes,2335,NCRB
Sant Kabirnagar,2021,SLL Crimes,2351,NCRB
Shahjahanpur,2021,SLL Crimes,10515,NCRB
Shamli,2021,SLL Crimes,1572,NCRB
Shrawasti,2021,SLL Crimes,847,NCRB
Sidharthnagar,2021,SLL Crimes,2476,NCRB
Sitapur,2021,SLL Crimes,7513,NCRB
Sonbhadra,2021,SLL Crimes,2587,NCRB
Bhadohi,2021,SLL Crimes,1168,NCRB
Sultanpur,2021,SLL Crimes,2060,NCRB
Unnao,2021,SLL Crimes,3470,NCRB
Varanasi Commissionarate,2021,SLL Crimes,727,NCRB
Lucknow Grameen,2021,SLL Crimes,745,NCRB
Kanpur Outer,2021,SLL Crimes,813,NCRB
Vasanasi Dehat,2021,SLL Crimes,557,NCRB
Agra,2021,Crimes Against Women,1434,NCRB
Aligarh,2021,Crimes Against Women,1860,NCRB
Prayagraj,2021,Crimes Against Women,1591,NCRB
Ambedkar Nagar,2021,Crimes Against Women,423,NCRB
Amethi,2021,Crimes Against Women,324,NCRB
Amroha,2021,Crimes Against Women,497,NCRB
Auraiya,2021,Crimes Against Women,558,NCRB
Azamgarh,2021,Crimes Against Women,711,NCRB
Badaun,2021,Crimes Against Women,777,NCRB
Baghpat,2021,Crimes Against Women,469,NCRB
Bahraich,2021,Crimes Against Women,1417,NCRB
Ballia,2021,Crimes Against Women,470,NCRB
Balrampur,2021,Crimes Against Women,358,NCRB
Banda,2021,Crimes Against Women,514,NCRB
Barabanki,2021,Crimes Against Women,736,NCRB
Bareilly,2021,Crimes Against Women,2506,NCRB
Basti,2021,Crimes Against Women,411,NCRB
Bijnor,2021,Crimes Against Women,844,NCRB
Bulandshahar,2021,Crimes Against Women,1485,NCRB
Chandoli,2021,Crimes Against Women,284,NCRB
Chitrakoot,2021,Crimes Against Women,210,NCRB
Deoria,2021,Crimes Against Women,78,NCRB
Etah,2021,Crimes Against Women,359,NCRB
Etawah,2021,Crimes Against Women,413,NCRB
Ayodhya,2021,Crimes Against Women,721,NCRB
Fatehgarh,2021,Crimes Against Women,417,NCRB
Fatehpur,2021,Crimes Against Women,571,NCRB
Firozabad,2021,Crimes Against Women,1270,NCRB
Gautambudh Nagar,2021,Crimes Against Women,882,NCRB
Ghaziabad,2021,Crimes Against Women,1082,NCRB
Ghazipur,2021,Crimes Against Women,773,NCRB
Gonda,2021,Crimes Against Women,454,NCRB
Gorakhpur,2021,Crimes Against Women,1805,NCRB
Hamirpur,2021,Crimes Against Women,332,NCRB
Hapur,2021,Crimes Against Women,865,NCRB
Hardoi,2021,Crimes Against Women,634,NCRB
Hathras,2021,Crimes Against Women,547,NCRB
Jalaun,2021,Crimes Against Women,323,NCRB
Jaunpur,2021,Crimes Against Women,595,NCRB
Jhansi,2021,Crimes Against Women,561,NCRB
Kannauj,2021,Crimes Against Women,903,NCRB
Kanpur Dehat,2021,Crimes Against Women,659,NCRB
Kanpur Commissionarate,2021,Crimes Against Women,894,NCRB
Kasganj,2021,Crimes Against Women,801,NCRB
Kaushambi,2021,Crimes Against Women,360,NCRB
Khiri,2021,Crimes Against Women,731,NCRB
Kushi Nagar,2021,Crimes Against Women,618,NCRB
Lalitpur,2021,Crimes Against Women,176,NCRB
Lucknow Commissionarate,2021,Crimes Against Women,2161,NCRB
Maharajganj,2021,Crimes Against Women,344,NCRB
Mahoba,2021,Crimes Against Women,222,NCRB
Mainpuri,2021,Crimes Against Women,586,NCRB
Mathura,2021,Crimes Against Women,1671,NCRB
Mau,2021,Crimes Against Women,604,NCRB
Meerut,2021,Crimes Against Women,1131,NCRB
Mirzapur,2021,Crimes Against Women,284,NCRB
Moradabad,2021,Crimes Against Women,1393,NCRB
Muzaffarnagar,2021,Crimes Against Women,516,NCRB
Pilibhit,2021,Crimes Against Women,827,NCRB
Pratapgarh,2021,Crimes Against Women,912,NCRB
Raibareilly,2021,Crimes Against Women,559,NCRB
Rampur,2021,Crimes Against Women,685,NCRB
Saharanpur,2021,Crimes Against Women,817,NCRB
Sambhal,2021,Crimes Against Women,590,NCRB
Sant Kabirnagar,2021,Crimes Against Women,356,NCRB
Shahjahanpur,2021,Crimes Against Women,824,NCRB
Shamli,2021,Crimes Against Women,464,NCRB
Shrawasti,2021,Crimes Against Women,343,NCRB
Sidharthnagar,2021,Crimes Against Women,312,NCRB
Sitapur,2021,Crimes Against Women,718,NCRB
Sonbhadra,2021,Crimes Against Women,285,NCRB
Bhadohi,2021,Crimes Against Women,261,NCRB
Sultanpur,2021,Crimes Against Women,820,NCRB
Unnao,2021,Crimes Against Women,787,NCRB
Varanasi Commissionarate,2021,Crimes Against Women,733,NCRB
Lucknow Grameen,2021,Crimes Against Women,173,NCRB
Kanpur Outer,2021,Crimes Against Women,549,NCRB
Vasanasi Dehat,2021,Crimes Against Women,385,NCRB
Agra,2021,Crimes Against Children,79,NCRB
Aligarh,2021,Crimes Against Children,642,NCRB
Prayagraj,2021,Crimes Against Children,272,NCRB
Ambedkar Nagar,2021,Crimes Against Children,173,NCRB
Amethi,2021,Crimes Against Children,87,NCRB
Amroha,2021,Crimes Against Children,66,NCRB
Auraiya,2021,Crimes Against Children,122,NCRB
Azamgarh,2021,Crimes Against Children,288,NCRB
Badaun,2021,Crimes Against Children,193,NCRB
Baghpat,2021,Crimes Against Children,242,NCRB
Bahraich,2021,Crimes Against Children,271,NCRB
Ballia,2021,Crimes Against Children,131,NCRB
Balrampur,2021,Crimes Against Children,132,NCRB
Banda,2021,Crimes Against Children,239,NCRB
Barabanki,2021,Crimes Against Children,262,NCRB
Bareilly,2021,Crimes Against Children,171,NCRB
Basti,2021,Crimes Against Children,162,NCRB
Bijnor,2021,Crimes Against Children,103,NCRB
Bulandshahar,2021,Crimes Against Children,391,NCRB
Chandoli,2021,Crimes Against Children,60,NCRB
Chitrakoot,2021,Crimes Against Children,81,NCRB
Deoria,2021,Crimes Against Children,35,NCRB
Etah,2021,Crimes Against Children,71,NCRB
Etawah,2021,Crimes Against Children,145,NCRB
Ayodhya,2021,Crimes Against Children,326,NCRB
Fatehgarh,2021,Crimes Against Children,145,NCRB
Fatehpur,2021,Crimes Against Children,370,NCRB
Firozabad,2021,Crimes Against Children,525,NCRB
Gautambudh Nagar,2021,Crimes Against Children,93,NCRB
Ghaziabad,2021,Crimes Against Children,271,NCRB
Ghazipur,2021,Crimes Against Children,337,NCRB
Gonda,2021,Crimes Against Children,120,NCRB
Gorakhpur,2021,Crimes Against Children,501,NCRB
Hamirpur,2021,Crimes Against Children,166,NCRB
Hapur,2021,Crimes Against Children,196,NCRB
Hardoi,2021,Crimes Against Children,276,NCRB
Hathras,2021,Crimes Against Children,261,NCRB
Jalaun,2021,Crimes Against Children,136,NCRB
Jaunpur,2021,Crimes Against Children,277,NCRB
Jhansi,2021,Crimes Against Children,140,NCRB
Kannauj,2021,Crimes Against Children,193,NCRB
Kanpur Dehat,2021,Crimes Against Children,82,NCRB
Kanpur Commissionarate,2021,Crimes Against Children,196,NCRB
Kasganj,2021,Crimes Against Children,343,NCRB
Kaushambi,2021,Crimes Against Children,182,NCRB
Khiri,2021,Crimes Against Children,146,NCRB
Kushi Nagar,2021,Crimes Against Children,264,NCRB
Lalitpur,2021,Crimes Against Children,51,NCRB
Lucknow Commissionarate,2021,Crimes Against Children,633,NCRB
Maharajganj,2021,Crimes Against Children,132,NCRB
Mahoba,2021,Crimes Against Children,110,NCRB
Mainpuri,2021,Crimes Against Children,270,NCRB
Mathura,2021,Crimes Against Children,307,NCRB
Mau,2021,Crimes Against Children,141,NCRB
Meerut,2021,Crimes Against Children,399,NCRB
Mirzapur,2021,Crimes Against Children,110,NCRB
Moradabad,2021,Crimes Against Children,428,NCRB
Muzaffarnagar,2021,Crimes Against Children,140,NCRB
Pilibhit,2021,Crimes Against Children,331,NCRB
Pratapgarh,2021,Crimes Against Children,580,NCRB
Raibareilly,2021,Crimes Against Children,366,NCRB
Rampur,2021,Crimes Against Children,84,NCRB
Saharanpur,2021,Crimes Against Children,127,NCRB
Sambhal,2021,Crimes Against Children,164,NCRB
Sant Kabirnagar,2021,Crimes Against Children,182,NCRB
Shahjahanpur,2021,Crimes Against Children,257,NCRB
Shamli,2021,Crimes Against Children,62,NCRB
Shrawasti,2021,Crimes Against Children,125,NCRB
Sidharthnagar,2021,Crimes Against Children,160,NCRB
Sitapur,2021,Crimes Against Children,340,NCRB
Sonbhadra,2021,Crimes Against Children,81,NCRB
Bhadohi,2021,Crimes Against Children,134,NCRB
Sultanpur,2021,Crimes Against Children,288,NCRB
Unnao,2021,Crimes Against Children,270,NCRB
Varanasi Commissionarate,2021,Crimes Against Children,235,NCRB
Lucknow Grameen,2021,Crimes Against Children,39,NCRB
Kanpur Outer,2021,Crimes Against Children,169,NCRB
Vasanasi Dehat,2021,Crimes Against Children,141,NCRB
Agra,2021,Crimes Against SCs,239,NCRB
Aligarh,2021,Crimes Against SCs,212,NCRB
Prayagraj,2021,Crimes Against SCs,393,NCRB
Ambedkar Nagar,2021,Crimes Against SCs,177,NCRB
Amethi,2021,Crimes Against SCs,346,NCRB
Amroha,2021,Crimes Against SCs,79,NCRB
Auraiya,2021,Crimes Against SCs,192,NCRB
Azamgarh,2021,Crimes Against SCs,198,NCRB
Badaun,2021,Crimes Against SCs,108,NCRB
Baghpat,2021,Crimes Against SCs,53,NCRB
Bahraich,2021,Crimes Against SCs,323,NCRB
Ballia,2021,Crimes Against SCs,122,NCRB
Balrampur,2021,Crimes Against SCs,97,NCRB
Banda,2021,Crimes Against SCs,171,NCRB
Barabanki,2021,Crimes Against SCs,394,NCRB
Bareilly,2021,Crimes Against SCs,170,NCRB
Basti,2021,Crimes Against SCs,163,NCRB
Bijnor,2021,Crimes Against SCs,97,NCRB
Bulandshahar,2021,Crimes Against SCs,184,NCRB
Chandoli,2021,Crimes Against SCs,143,NCRB
Chitrakoot,2021,Crimes Against SCs,92,NCRB
Deoria,2021,Crimes Against SCs,102,NCRB
Etah,2021,Crimes Against SCs,134,NCRB
Etawah,2021,Crimes Against SCs,136,NCRB
Ayodhya,2021,Crimes Against SCs,199,NCRB
Fatehgarh,2021,Crimes Against SCs,100,NCRB
